订单ID,日期,菜品名称,菜品分类,单价,数量,交易金额,支付方式,售卖时段
888,2022-09-05,瓦达汉堡,快餐,20,8,160,现金,傍晚
889,2022-04-12,瓦达汉堡,快餐,20,10,200,在线支付,午夜
890,2023-03-03,新鲜甘蔗汁,饮品,25,5,125,现金,早晨
891,,冰咖啡,饮品,40,11,440,现金,午夜
892,,新鲜甘蔗汁,饮品,25,7,175,在线支付,傍晚
893,,新鲜甘蔗汁,饮品,25,12,300,现金,下午
894,,招牌三明治,快餐,60,15,900,现金,早晨
895,2023-01-03,新鲜甘蔗汁,饮品,25,11,275,现金,下午
896,,咖喱土豆球,快餐,20,13,260,现金,晚上
897,,咖喱土豆球,快餐,20,6,120,在线支付,早晨
898,2023-03-02,法兰基卷,快餐,50,8,400,现金,下午
899,,咖喱土豆球,快餐,20,7,140,现金,午夜
900,2022-12-07,新鲜甘蔗汁,饮品,25,9,225,在线支付,下午
901,,瓦达汉堡,快餐,20,7,140,在线支付,早晨
902,,法兰基卷,快餐,50,4,200,在线支付,下午
903,2023-01-01,咖喱土豆球,快餐,20,15,300,在线支付,晚上
904,2023-03-12,咖喱土豆球,快餐,20,4,80,现金,午夜
905,,法兰基卷,快餐,50,15,750,现金,午夜
906,2022-04-04,招牌三明治,快餐,60,15,900,现金,下午
907,,冰咖啡,饮品,40,4,160,其他,午夜
908,2023-03-06,招牌三明治,快餐,60,7,420,现金,晚上
909,,冰咖啡,饮品,40,12,480,在线支付,早晨
910,2022-10-09,脆球点心,快餐,20,1,20,现金,下午
911,2022-04-09,招牌三明治,快餐,60,1,60,现金,傍晚
912,,咖喱土豆球,快餐,20,6,120,现金,傍晚
913,,法兰基卷,快餐,50,15,750,在线支付,傍晚
914,2023-03-01,招牌三明治,快餐,60,14,840,现金,晚上
915,2022-10-07,冰咖啡,饮品,40,7,280,在线支付,下午
916,,冰咖啡,饮品,40,15,600,其他,下午
917,,瓦达汉堡,快餐,20,15,300,在线支付,傍晚
918,2022-11-12,脆球点心,快餐,20,6,120,现金,傍晚
919,2023-01-03,瓦达汉堡,快餐,20,8,160,在线支付,傍晚
920,2022-07-12,法兰基卷,快餐,50,13,650,在线支付,傍晚
921,,瓦达汉堡,快餐,20,14,280,现金,午夜
922,,法兰基卷,快餐,50,5,250,在线支付,傍晚
923,,冰咖啡,饮品,40,3,120,在线支付,早晨
924,,脆球点心,快餐,20,14,280,现金,下午
925,2022-04-10,法兰基卷,快餐,50,4,200,在线支付,下午
926,,法兰基卷,快餐,50,15,750,现金,下午
927,2022-12-02,冰咖啡,饮品,40,6,240,其他,傍晚
928,2022-04-07,招牌三明治,快餐,60,11,660,在线支付,傍晚
929,2022-06-06,法兰基卷,快餐,50,9,450,在线支付,晚上
930,,新鲜甘蔗汁,饮品,25,10,250,在线支付,晚上
931,,咖喱土豆球,快餐,20,15,300,现金,下午
932,,招牌三明治,快餐,60,9,540,在线支付,下午
933,,新鲜甘蔗汁,饮品,25,15,375,在线支付,下午
934,,冰咖啡,饮品,40,4,160,现金,下午
935,,招牌三明治,快餐,60,12,720,现金,午夜
936,2022-08-10,脆球点心,快餐,20,2,40,其他,午夜
937,,脆球点心,快餐,20,4,80,现金,晚上
938,2022-08-10,新鲜甘蔗汁,饮品,25,14,350,现金,傍晚
939,,瓦达汉堡,快餐,20,15,300,在线支付,午夜
940,2023-02-07,新鲜甘蔗汁,饮品,25,14,350,在线支付,午夜
941,2023-02-10,冰咖啡,饮品,40,10,400,在线支付,早晨
942,,法兰基卷,快餐,50,6,300,现金,晚上
943,,瓦达汉堡,快餐,20,6,120,现金,晚上
944,2022-05-12,咖喱土豆球,快餐,20,2,40,现金,午夜
945,,冰咖啡,饮品,40,2,80,在线支付,下午
946,,招牌三明治,快餐,60,8,480,现金,午夜
947,,咖喱土豆球,快餐,20,11,220,在线支付,晚上
948,,招牌三明治,快餐,60,10,600,在线支付,傍晚
949,2023-01-07,脆球点心,快餐,20,1,20,现金,傍晚
950,,法兰基卷,快餐,50,6,300,在线支付,傍晚
951,2022-11-11,脆球点心,快餐,20,11,220,现金,下午
952,,咖喱土豆球,快餐,20,14,280,现金,傍晚
953,2022-11-10,招牌三明治,快餐,60,2,120,在线支付,下午
954,,咖喱土豆球,快餐,20,3,60,现金,午夜
955,,新鲜甘蔗汁,饮品,25,7,175,在线支付,下午
956,,法兰基卷,快餐,50,13,650,在线支付,早晨
957,2023-02-08,脆球点心,快餐,20,3,60,在线支付,午夜
958,,招牌三明治,快餐,60,11,660,在线支付,晚上
959,,瓦达汉堡,快餐,20,8,160,在线支付,午夜
960,2022-08-12,新鲜甘蔗汁,饮品,25,15,375,在线支付,傍晚
961,,法兰基卷,快餐,50,13,650,现金,晚上
962,,法兰基卷,快餐,50,13,650,在线支付,下午
963,2022-10-05,瓦达汉堡,快餐,20,6,120,现金,早晨
964,2022-05-07,冰咖啡,饮品,40,8,320,现金,傍晚
965,2022-10-08,法兰基卷,快餐,50,5,250,在线支付,晚上
966,,脆球点心,快餐,20,11,220,在线支付,早晨
967,,冰咖啡,饮品,40,14,560,现金,下午
968,2022-08-09,冰咖啡,饮品,40,15,600,现金,早晨
969,2022-11-06,冰咖啡,饮品,40,11,440,现金,早晨
970,,咖喱土豆球,快餐,20,5,100,在线支付,下午
971,2022-10-02,法兰基卷,快餐,50,2,100,现金,早晨
972,2023-03-11,咖喱土豆球,快餐,20,1,20,现金,下午
973,2022-06-07,新鲜甘蔗汁,饮品,25,1,25,其他,早晨
974,,瓦达汉堡,快餐,20,13,260,在线支付,下午
975,,咖喱土豆球,快餐,20,1,20,现金,午夜
976,,新鲜甘蔗汁,饮品,25,11,275,其他,早晨
977,2023-01-05,咖喱土豆球,快餐,20,1,20,现金,傍晚
978,2022-10-08,法兰基卷,快餐,50,2,100,在线支付,晚上
979,,咖喱土豆球,快餐,20,13,260,现金,午夜
980,,瓦达汉堡,快餐,20,9,180,在线支付,早晨
981,,脆球点心,快餐,20,15,300,在线支付,午夜
982,,新鲜甘蔗汁,饮品,25,14,350,现金,晚上
983,,冰咖啡,饮品,40,10,400,其他,晚上
984,2023-01-07,法兰基卷,快餐,50,3,150,现金,下午
985,,法兰基卷,快餐,50,1,50,现金,下午
986,,新鲜甘蔗汁,饮品,25,13,325,在线支付,晚上
987,2023-01-04,瓦达汉堡,快餐,20,3,60,现金,傍晚
988,2023-01-03,法兰基卷,快餐,50,13,650,其他,晚上
989,2022-10-11,冰咖啡,饮品,40,13,520,现金,下午
990,,瓦达汉堡,快餐,20,10,200,在线支付,早晨
991,,招牌三明治,快餐,60,7,420,现金,晚上
992,,招牌三明治,快餐,60,5,300,现金,早晨
993,,法兰基卷,快餐,50,3,150,在线支付,晚上
994,2022-11-01,脆球点心,快餐,20,2,40,在线支付,傍晚
995,,新鲜甘蔗汁,饮品,25,1,25,在线支付,晚上
996,,法兰基卷,快餐,50,10,500,其他,傍晚
997,,招牌三明治,快餐,60,7,420,其他,傍晚
998,,招牌三明治,快餐,60,13,780,其他,傍晚
999,,脆球点心,快餐,20,5,100,其他,下午
1000,,咖喱土豆球,快餐,20,3,60,在线支付,午夜
